id,league,year,type,h2_index,para_index,title,paragraph
720,American League,1955,h2,1,3,Off the field,"America's greatest theme park, Disneyland, opened in Anaheim California with eighteen cutting-edge attractions, including the Jungle Cruise, Tomorrowland Autopia, Mr. Toad's Wild Ride and the Mark Twain Adventure. After years of construction, the ground-breaking visions of animation tycoon Walt Disney evolved into the creation of a Magical Kingdom that drew one million visitors in six months."
721,American League,1955,h2,2,1,In the American League,"Eight years after Jackie Robinson broke the color-barrier, Elston Howard became the first African-American to don the Yankees pinstripes. The twenty-six year-old catcher, debuted with a clutch single in his first at-bat as New York went on to defeat the Boston Red Sox 8-4 at Fenway Park."
722,American League,1955,h2,2,2,In the American League,"Cleveland Indians' ace Bob Feller one-hit the Boston Red Sox for a 2-0 victory on May 1st setting a Major League record with twelve career one-hitters. Later that season, teammate Herb Score broke Grover Cleveland Alexander's rookie season strikeout record after fanning his two-hundred thirty-fifth of the year."
723,American League,1955,h2,2,3,In the American League,"On June 21st, Mickey Mantle became the first New York Yankee ever to hit a home run to straight-away center at Yankee Stadium. The epic blast traveled well over the thirty-foot hitter's backdrop and landed in the ninth row of bleachers for an estimated total of four-hundred eighty-six feet."
724,American League,1955,h2,3,1,In the National League,"In his first Major League start, Pittsburgh Pirates' pitcher Al Grunwald threw ""for the cycle"" after surrendering a single, a double, a triple, and a home run (for four runs) all in a single inning during a 12-3 loss to the New York Giants."
725,American League,1955,h2,3,2,In the National League,"Brooklyn Dodgers' pitcher Don Newcombe became the only National League pitcher of the decade to steal home (after he hit a clutch triple) in the ninth inning en route to a 6-2 win over the struggling Pittsburgh Pirates on May 26th. Later in the season he would win twenty games and set another National League record with seven home runs, the most ever by a pitcher."
726,American League,1955,h2,3,3,In the National League,"New York Giant Willie Mays became only the seventh player ever to hit fifty home runs in a single season after knocking two-run homers in each game of a double header against the Pittsburgh Pirates at the Polo Grounds. Mays joined fellow sluggers Babe Ruth, Ralph Kiner, Jimmie Foxx, Hank Greenberg, Hack Wilson and Johnny Mize as a member of baseball's prestigious ""50 Club""."
727,American League,1955,h2,4,1,Around the League,"At the beginning of the 1955 season only three teams, out of sixteen, still had yet to field a black ballplayer (Boston Red Sox, Detroit Tigers and Philadelphia Phillies)."
728,American League,1955,h2,4,2,Around the League,"On July 9th, Chicago newspaperman Arch Ward, the originator of the All-Star Game, died suddenly at the age of fifty-eight on the way to cover his twenty-second Midsummer Classic. Ward was the sports editor of the Chicago Tribune and was also credited with initiating the All-Star College Football Game and the All-America Football Conference."
729,American League,1955,h2,4,3,Around the League,"One of the game's greatest, Hall of Fame shortstop Honus Wagner died at the age of eighty-one on December 6th. Wagner had played twenty-one years of outstanding baseball with eighteen of them as a Pittsburgh Pirate. He completed his career with a .327 career batting average, six-hundred forty-three doubles, two-hundred fifty-two triples and seven-hundred twenty-two stolen bases. He also hit one-hundred one home runs (with never more than ten a season), won the National League Batting Champion title eight times and batted .300 (or better) sixteen times — including fifteen seasons in a row."
730,American League,1955,h2,4,4,Around the League,"The 1955 season debuted such rookie talents as Sandy Koufax, Brooks Robinson, Roberto Clemente and Harmon Killebrew. All now have plaques hanging in the hallowed halls of Cooperstown."
731,American League,1956,h1,,,1956 AMERICAN LEAGUE,
732,American League,1956,h2,1,1,Off the field,"Civil Rights leader Dr. Martin Luther King, Jr. and approximately one-hundred other participants in the ""Montgomery, Alabama Bus Boycott"" were indicted for conspiracy to conduct an illegal boycott and sentenced to prison. All cases were eventually settled by $100 fines and the Supreme Court later ruled that segregation on any form of public transportation was unconstitutional."
733,American League,1956,h2,1,2,Off the field,"After Colonel Tom Parker negotiated the sale of Elvis Presley's Sun Records contract to RCA, the future ""King of Rock and Roll"" had his first recording session at their studio in Nashville. Among the songs recorded was ""Heartbreak Hotel"" which was released as a single and sold over 300,000 copies in its first three weeks. It quickly climbed to number one on Billboard's pop singles chart for eight weeks, hit number one on the country chart, number five on the R&B chart and became the first Elvis single to sell over one million copies, earning him his first gold record."
734,American League,1956,h2,1,3,Off the field,"Prince Rainier III of Monaco married film actress Grace Kelly. A civil ceremony was held in the throne room in the Palace of Monaco and was attended by the couple's close family and friends. The Prince, who still rules the country today, succeeded his grandfather Louis II in 1949 to become Monaco's thirty-first ruler. Unfortunately, Princess Grace was killed in a car crash on September 14, 1982 after her car went off a road over a cliff in Monaco."
735,American League,1956,h2,2,1,In the American League,The New York Yankees and Washington Senators combined to set a Major League record after each hit three home runs on Opening Day. Bronx Bomber Mickey Mantle hit two tape measure blasts himself (both over five-hundred feet) off pitcher Camilo Pascual en route to a 10-4 win.
736,American League,1956,h2,2,2,In the American League,"Boston lefthander Mel Parnell tossed a no-hitter against the Chicago White Sox at Fenway Park on July 14th. The 4-0 triumph was the first ""no-no"" for the Red Sox since 1923. Unfortunately Parnell went on to a mediocre 4-4 record before tearing a muscle in his pitching arm that ultimately ended his career as Boston's winningest lefty."
737,American League,1956,h2,2,3,In the American League,Don Larsen of the New York Yankees threw ninety-seven pitches for the only perfect game in World Series history while defeating the Brooklyn Dodgers 2-0 in Game 5.
738,American League,1956,h2,3,1,In the National League,"On May 2nd, twenty-five Giants and twenty-three Cubs participated in a seventeen-inning marathon setting a Major League record for the most player appearances in a single game. New York eventually prevailed over Chicago 6-5 as both teams combined to intentionally walk eleven batters (another Major League record) with the home team ""Cubbies"" contributing seven."
739,American League,1956,h2,3,2,In the National League,Dale Long of the Pittsburgh Pirates connected against the Brooklyn Dodgers' Carl Erskine at Forbes Field on May 28th for his eighth home run in as many games. His consecutive record for round trippers would stand for thirty-one years until New York Yankee Don Mattingly finally equaled it in 1987.
740,American League,1956,h2,3,3,In the National League,"Despite losing 13-6 to the St. Louis Cardinals on July 21st, the Brooklyn Dodgers' Junior Gilliam made twelve assists at second base to set a modern Major League record, while team captain Pee Wee Reese tallied his two-thousandth Major League hit - one of only five active players to reach the plateau."
741,American League,1956,h2,4,1,Around the League,The Major League owners voted to establish the Cy Young Memorial Award for outstanding pitcher of the year. Don Newcombe of the Brooklyn Dodgers (who won the 1949 Rookie of the Year Award) became the first recipient and also went on to win the National League Most Valuable Player title.
742,American League,1956,h2,4,2,Around the League,"Pitching legend Satchel Paige signed a new contract with the Birmingham Black Barons (Negro League) at age fifty to both play and manage. His frequent successful duels against such barnstorming Major Leaguers as Babe Ruth, Rogers Hornsby, and Bob Feller helped boost the credibility of black baseball and established him as one of the greatest aces ever to take the mound."
743,American League,1956,h2,4,3,Around the League,"Former National Football League tackle (New York Giants) turned American League umpire Frank Umont became the first Major League official to wear glasses while calling a game. Many fans hoped that it would start a ""trend"" across the league as many umpires had been accused of needing spectacles."
744,American League,1956,h2,4,4,Around the League,"The National Braille Press presented Boston Red Sox manager Pinky Higgins with their 1956 schedule, printed in Braille for the first time. All other Major League teams would soon follow with Braille printed season calendars for the sight impaired."
745,American League,1957,h1,,,1957 AMERICAN LEAGUE,
746,American League,1957,h2,1,1,Off the field,"President Dwight D. Eisenhower deployed Federal troops to uphold the integration of public schools in Little Rock, Arkansas after local authorities refused to implement court-ordered desegregation. Little Rock Mayor Woodrow Mann had sent the President a telegram asking for assistance in maintaining order and completing the integration process. The President responded by sending 1,000 members of the 101st Airborne Division and federalizing the 10,000-man Arkansas National Guard. On September 25th, nine black students finally entered Central High School under Army escort."
747,American League,1957,h2,2,1,In the American League,Ted Williams set an American League record after being intentionally walked thirty-three times during the regular season. It was the highest American League total since the league had started compiling the statistic in 1955.
748,American League,1957,h2,2,2,In the American League,"On June 2nd, New York Yankees ace Whitey Ford fanned six batters in a row to tie an American League record as he shut out the Chicago White Sox 3-0."
749,American League,1957,h2,2,3,In the American League,"Bob Keegan of the Chicago White Sox tossed the only no-no of the season (in either league) on August 20th, shutting down the Washington Senators who were going to lose 99 games and finish forty-three games out of first."
750,American League,1957,h2,3,1,In the National League,"On August 17th, Richie Ashburn of the Phillies proved that lightning could strike twice after hitting spectator Alice Roth twice in the same at bat. The first foul struck the wife of Earl Roth, sports editor at the Philadelphia Bulletin in the face and the second hit her body while she was being removed from her seat on a stretcher. Mrs. Roth went on to the hospital to be treated for a broken nose and Philadelphia went on beat the New York Giants 3-1."
751,American League,1957,h2,3,2,In the National League,The Brooklyn Dodgers tied a National League record on August 24th after using eight pitchers during a single game. The expanded rotation failed miserably as the first-place Milwaukee Braves dominated the entire bullpen for a 13-7 massacre. The Dodgers' Johnny Podres surrendered three home runs in the fourth and Hammerin' Hank Aaron added insult to injury with the first grand slam of his career. The St. Louis Cardinals also tied the record on September 21st while losing 9-8 (in ten innings) against the Cincinnati Reds.
752,American League,1957,h2,3,3,In the National League,Milwaukee Braves' ace Warren Spahn hurled the forty-first shutout of his career during an 8-0 victory over the Chicago Cubs on September 3rd setting a new National League record for left-handed pitchers.
753,American League,1957,h2,4,1,Around the League,"The Dodgers became the first Major League baseball team to own their own plane after they purchased a forty-four passenger, twin-engine airliner for $775,000 to transport the club during the season."
754,American League,1957,h2,4,2,Around the League,"The Associated Press named Philadelphia Phillies pitcher Jack Sanford as its National League Rookie of the Year and the Milwaukee Braves' Henry Aaron as the 1957 National League Most Valuable Player with two-hundred thirty-nine votes. Stan Musial of the St. Louis Cardinals was a close second with two-hundred thirty. On the American League side, Tony Kubek of the Yankees was elected the American League Rookie of the Year and teammate Mickey Mantle edged out Red Sox rival Ted Williams two-hundred thirty-three to two-hundred nine votes to win the American League Most Valuable Player Award."
755,American League,1957,h2,4,3,Around the League,"After the Minor Leagues threatened to sue Major League Baseball if Sunday games were televised in their territory, the Columbia Broadcasting System (CBS) announced that it would not broadcast any big league match-ups at the time a Minor League game was scheduled."
756,American League,1957,h2,4,4,Around the League,"New York City Mayor Robert Wagner formed an exclusive four-member committee to find a National League ""replacement team"" for the vacating Dodgers and Giants."
757,American League,1958,h1,,,1958 AMERICAN LEAGUE,
758,American League,1958,h2,1,1,Off the field,"The United States launched its first satellite ""Explorer I"" into orbit around the earth. The launch was in response to the Soviets who had successfully launched their first satellite ""Sputnik"" one year earlier."
759,American League,1958,h2,1,2,Off the field,U.S. Troops landed in Lebanon for the first time after President Eisenhower ordered approximately five-thousand U.S. Marines deployed to help maintain order after a revolt in Iraq resulted in the ouster of the pro-Western Lebanese government.
760,American League,1958,h2,1,3,Off the field,"Pan Am introduced the first 707 trans-Atlantic jet service on October 27, when its first 707 airliner, christened the ""Clipper America"", took off for Paris, France from New York."
761,American League,1958,h2,2,1,In the American League,"Cleveland Indian Vic Power became the first American League player since 1927 to steal home twice in the same game. The crafty first baseman first stole home in the eighth inning, then again in the tenth giving the Indians a 10-9 win over the Detroit Tigers."
762,American League,1958,h2,2,2,In the American League,Two walks and a hit batsman are all that Jim Bunning allowed as he won his sixth game in seven decisions and tossed the only American League no hitter of the season on July 20.
763,American League,1958,h2,2,3,In the American League,"Boston's Ted Williams hit the 17th grand slam of his career (along with a three-run home run) during an 11-8 win over the Detroit Tigers on July 29th. The bases-loaded-round-tripper tied the Red Sox slugger for 2nd place with Babe Ruth and moved him within six of the all-time leader, Lou Gehrig."
764,American League,1958,h2,3,1,In the National League,"Tragedy struck the Los Angeles Dodgers after catcher Roy Campanella was involved in a serious auto accident on Long Island. Although he survived suffering a broken neck, his spinal column was nearly severed and his legs were permanently paralyzed."
765,American League,1958,h2,3,2,In the National League,"On May 11th, the St. Louis Cardinals set a National League record by using ten pinch hitters during a regulation double-header. Despite walking fourteen batters in game one, The ""Redbirds"" managed to top the Chicago Cubs 8-7 and followed in game two with another 6-5 win. Despite the lengthy line-up, Stan Musial remained the Cardinals biggest threat at the plate and posted a home run and four singles to come within two hits of three-thousand. Amazingly, the Cards would tie their own record two months later against the Pittsburgh Pirates on July 13th."
766,American League,1958,h2,3,3,In the National League,"Milwaukee Braves ace Warren Spahn became the first lefty to win twenty or more games, nine times, after beating the St. Louis Cardinals 8-2 on September 13th. (Eddie Plank and Lefty Grove, each won twenty games, eight times)."
767,American League,1958,h2,4,1,Around the League,Baseball Commissioner Ford Frick announced that the players and coaches (rather than the fans) would elect their line-ups for the All-Star Game.
768,American League,1958,h2,4,2,Around the League,"""Teddy Ballgame"" aka Ted Williams, signed a whopping $135,000 contract extension with the Boston Red Sox making him the highest paid player (to date) in the history of Major League Baseball. Later that season he became only the 10th player ever to get one-thousand extra-base hits."
769,American League,1958,h2,4,3,Around the League,"Decades before the premiere of ESPN or the YES Network, the New York Yankees announced that they would televise an unprecedented one-hundred forty games during the 1958 season. The Philadelphia Phillies followed several days later agreeing to broadcast seventy-eight games in the New York City area."
770,American League,1958,h2,4,4,Around the League,"Starting this season, all American League hitters were required to wear batting helmets."
771,American League,1959,h1,,,1959 AMERICAN LEAGUE,
772,American League,1959,h2,1,1,Off the field,"The United States expanded its borders as both Alaska and Hawaii were officially admitted to the Union. Despite an overwhelming vote by Alaskans in 1956, it took more than two years for the Senate to finally agree to make Alaska the forty-ninth state. On March 18, 1959, President Dwight D. Eisenhower added Hawaii, the Aloha State, and commissioned a new fifty star U.S. Flag."
773,American League,1959,h2,1,2,Off the field,"Rock and Roll Hall of Famers Buddy Holly, the Big Bopper (J.P. Richardson), and Ritchie Valens died when their Beechcraft plane crashed just outside Clear Lake, Iowa, during a stormy winter night. Holly was famous for many hits including ""Peggy Sue."" The Big Bopper had one big hit, ""Chantilly Lace."" And Valens was best known for his hit, ""La Bamba."" The tragic accident was penned in the papers as ""The Day the Music Died""."
774,American League,1959,h2,1,3,Off the field,"Scandal rocked America's most popular Game Show ""Twenty-One"" after former champion Herbert Stempel confessed to being given the answers to questions, told which questions to miss, and coached in presentation. After he blew the whistle, public outrage was so great that in 1959 Congress opened hearings on the great American quiz show fix and later formally outlawed all future quiz show deceptions."
775,American League,1959,h2,2,1,In the American League,The Boston Red Sox remained as the only Major League team not to include minority players in its line-up. The National Association for the Advancement of Colored People filed a grievance against the franchise charging them with racial discrimination and calling for an official investigation into the team's signing policies.
776,American League,1959,h2,2,2,In the American League,"Chicago White Sox second baseman Nellie Fox managed five hits in seven at bats on Opening Day (including a two-run home run off pitcher Don Mossi to win the game) during a fourteen-inning, 9-7 victory over the Detroit Tigers. His five hits in a season opener tied a Major League record that would not be matched for forty years."
777,American League,1959,h2,2,3,In the American League,Cleveland's Rocky Colavito hit four consecutive home runs at Baltimore's Memorial Stadium en route to an 11-8 victory over the home team Orioles. The Indian slugger joined Lou Gehrig and Bobby Lowe as the only Major League players ever to hit four consecutive round-trippers.
778,American League,1959,h2,3,1,In the National League,"On May 26, Pirates ace Harvey Haddix pitched a perfect game against Milwaukee for twelve innings, only to lose in the 13th. After Felix Mantilla managed to reach base on a fielding error, Hank Aaron was intentionally walked. Pittsburgh's strategy proved meaningless though as Joe Adcock maintained the Braves newfound momentum with a three-run blast for the comeback win. The following day National League President Warren Giles ruled that the final score should be amended to 1-0, since both runners Henry Aaron and Joe Adcock were both ruled out. (Aaron had been called for leaving the field during play, and Adcock had passed him in the base path.)"
779,American League,1959,h2,3,2,In the National League,"Seven pitchers combined to tie a National League record with twenty-three strikeouts during a May 31 outing between the St. Louis Cardinals and Los Angeles Dodgers. Sandy Koufax led the effort with nine ""K's"" for the 5-3 win."
780,American League,1959,h2,3,3,In the National League,"The San Francisco Giants and Chicago Cubs set a new record for the longest nine-inning game in history after playing for three hours and fifty minutes. The home team finally won the ""marathon at Wrigley"" with a score of 20-9 after tallying nineteen hits and five home runs."
781,American League,1959,h2,4,1,Around the League,"The Rules Committee finally permitted inter-league trading for a limited, three-and-a-half-week period during Major League Baseball's winter meetings."
782,American League,1959,h2,4,2,Around the League,"The Players Association fired lawyer J. Norman Lewis and replaced him with Judge Robert C. Cannon, the son of Wisconsin Congressman Raymond J. Cannon, who had attempted to unionize the players during the 1920 season."
783,American League,1959,h2,4,3,Around the League,"Controversy erupted over the American League batting title as the Cleveland Indians' Tito Francona finished the season with a league leading .363 average, but fell one at-bat short (three-hundred ninety-nine) of the required total (four-hundred). As a result, Harvey Kuenn of the Detroit Tigers was crowned the American League batting champion."
784,American League,1959,h2,4,4,Around the League,"Washington D.C. Senator Estes Kefauver warned Major League Baseball that they were closely monitoring the ""attitudes of organized baseball"" toward the Continental League in an effort to prevent any antitrust issues."
785,American League,1960,h1,,,1960 AMERICAN LEAGUE,
786,American League,1960,h2,1,1,Off the field,"The fifty-star Flag of the United States was officially dedicated on July 4. The newly expanded banner had been modified following the admission of the 50th state, Hawaii, on August 21, 1959 with an Executive Order filed by President Eisenhower providing the arrangement of nine rows of stars staggered horizontally and eleven rows staggered vertically."
787,American League,1960,h2,1,2,Off the field,"President Eisenhower signed the Civil Rights Act of 1960 enabling federal judges to appoint referees to hear persons claiming that state election officials had denied minorities the right to register and vote. Though well intended, the statute proved ineffective, making it necessary for President Lyndon B. Johnson to persuade Congress to pass the Voting Rights Act in 1965."
788,American League,1960,h2,1,3,Off the field,"John F. Kennedy, a first-ballot nominee, defeated Richard Nixon to become the youngest President ever elected in the United States. Winning by a narrow margin in the popular vote, Kennedy became the first Roman Catholic President and immediately set out to redeem his campaign pledge to get America moving again. His economic programs launched the country on its longest sustained expansion since World War II."
789,American League,1960,h2,2,1,In the American League,"On Opening Day, ""Teddy Baseball"" (Ted Williams) tied the ""Iron Horse"" (Lou Gehrig) with the 493rd home run of his career. The 500' blast in his first at-bat remained the only bright moment for Boston as the Washington Senators' Camilo Pascual struck out 11 Red Sox batters on the way to a 10-1 victory. Williams hit number 500 later that season with a 3-1 win over the Cleveland Indians on June 17."
790,American League,1960,h2,2,2,In the American League,American League Most Valuable Player Roger Maris debuted as a New York Yankee against the Boston Red Sox with 2 home runs and 4 RBIs en route to an 8-4 win at Fenway Park.
791,American League,1960,h2,2,3,In the American League,Baltimore Orioles catcher Clint Courtney became the first at his position to complete 2 career unassisted double plays during a 5-3 loss to the New York Yankees.
792,American League,1960,h2,3,1,In the National League,George Crowe of the St. Louis Cardinals hit four-pinch homers for a Major League career record of fourteen.
793,American League,1960,h2,3,2,In the National League,"Baseball's greatest defensive player became baseball's greatest offensive player with a single at-bat during the Pittsburgh Pirates versus New York Yankees World Series. After being statistically dominated by their American League rivals for six outings, the National League champions found themselves with their backs against the wall at Forbes Field for Game 7. Stats mattered little in the end though as second baseman Bill Mazeroski stepped up to the plate (in the bottom of the ninth) and delivered a desperate, bases-empty home run for the 10-9 victory and the first Pirates World Championship in thirty-five years."
794,American League,1960,h2,3,3,In the National League,"The Los Angeles Dodgers set an all-time National League record for attendance with 2,253,887 coming out to the Coliseum."
795,American League,1960,h2,4,1,Around the League,"Bill Veeck became the first to break uniform tradition after putting the names of his players on the backs of their Chicago White Sox jerseys. In reaction, the rest of the league's teams sent formal protests to the commissioner's office demanding that the names be removed. After hearing both sides, it was determined that each team would have the option to add their names or stay with the traditional number only."
796,American League,1960,h2,4,2,Around the League,"Television icon Gene Autry attended the annual American League owners meeting while investigating possible broadcasting opportunities. After realizing Autry's true respect for the game of baseball as well as his political connections in California, American League President Joe Cronin nominated him for ownership. The result was the birth of the California Angels expansion franchise."
797,American League,1960,h2,4,3,Around the League,"The Sporting News named Boston Red Sox icon Ted Williams as their ""Player of the Decade"" for the 1950s."
798,American League,1960,h2,4,4,Around the League,The last remaining chapter in the Negro Leagues disbanded after a steady decline in talent due to the inclusion and rapid growth of African-American players in the Major Leagues.
799,American League,1961,h1,,,1961 AMERICAN LEAGUE,
800,American League,1961,h2,1,1,Off the field,"A new American based humanitarian organization called the ""Peace Corps"" was started at the insistence President John F. Kennedy. The program encouraged young people, most just out of college, to volunteer a year of their time to work as teachers, health care providers or other advisors for poor nations in Africa, Asia and South America."
801,American League,1961,h2,1,2,Off the field,"The United States government pledged to increase its military presence to aid South Vietnam in the fight against the Viet Cong rebels. Although not ""officially engaged"" in a formal state of war, the new agreement provided increased funding for the Vietnamese army and more U.S. advisors in the field."
802,American League,1961,h2,1,3,Off the field,"An unsuccessful attempt to overthrow the government of Cuban premier Fidel Castro by United States-backed rebels took place in April. An invasion force consisting of approximately 1,500 Cuban exiles, armed with U.S. weapons, landed at the Bahia de Cochinos (Bay of Pigs) on the south coast hoping to find support from the local population. Within hours, most were wiped out by Castro's own troops or taken prisoner for ransom. Acting President John F. Kennedy took full responsibility for the disaster, even though the plans had been put in place during the Eisenhower administration."
803,American League,1961,h2,2,1,In the American League,New York's newly crowned single-season home run champion Roger Maris beat out Yankee teammate Mickey Mantle by 4 votes for the American League Most Valuable Player Award.
804,American League,1961,h2,2,2,In the American League,"On September 15, the New York Yankees also broke the all-time home run record (for a team) with 223 round-trippers. The combined franchise mark had been previously held by the 1947 New York Giants and the 1956 Cincinnati Reds."
805,American League,1961,h2,2,3,In the American League,Baltimore Orioles slugger Jim Gentile tied Ernie Banks' Major League record for most grand slams in a season after hitting his 5th off of the Chicago White Sox' Don Larsen.
806,American League,1961,h2,3,1,In the National League,"On September 15, Los Angeles Dodgers ace Sandy Koufax set down 10 Milwaukee Braves bringing his season total to 243 — a National League record for left-handed pitchers. The New York Giants' Rube Marquard had held the National League lefty record previously after fanning 237 in 1911."
807,American League,1961,h2,3,2,In the National League,"The San Francisco Giants set a new precedent for Major League salaries after signing Willie Mays to an $85,000 contract — the highest in their history and the most paid to any player in 1961."
808,American League,1961,h2,3,3,In the National League,"The National League's newest franchise was officially christened as the ""Mets"" after New York fans were asked to vote on a list of finalists submitted by mail. Other names selected for the ballot included the ""Burros"", ""Skyliners"", ""Rebels"" and ""Skyscrapers""."
809,American League,1961,h2,4,1,Around the League,"Political tensions between the United States and Cuba initially prevented all Cuban players, including Minnie Minoso of the Chicago White Sox and Camilo Pascual and Pedro Ramos of the Minnesota Twins, from returning to the U.S. for the 1961 season. After several negotiations, a high-ranking foreign ministry official finally permitted their unconditional return."
810,American League,1961,h2,4,2,Around the League,"""The M&M Boys"" (Mickey Mantle and Roger Maris) became THE single most important story in the 1961 season as both New York Yankee teammates raced to beat Babe Ruth's single-season homerun record of sixty. After going head-to-head for several months, Mantle fell out of the race due to a serious hip infection that required hospitalization. Maris pressed on and finally topped ""The Bambino"" during the final game of the season with number 61 off Tracy Stallard of the Boston Red Sox. Baseball Commissioner Ford Frick ruled that Maris' record would be recorded with an asterisk in the books, making it a separate and distinctive record due to the new one-hundred sixty-two game schedule. Years later, acting Commissioner Fay Vincent reversed the ruling, ""removing the asterisk"" and recognizing Maris as an official record-breaker."
811,American League,1961,h2,4,3,Around the League,"In response to the rash of home runs around the league, both American League President Joe Cronin and National League President Warren Giles agreed to order tests to determine if the ""1961 baseball"" was ""livelier"" than those of past seasons. The investigation conducted by technologists at Foster D. Snell Inc. concluded that the ball was slightly larger and several ounces lighter than the one used by Babe Ruth in the 1920s."
812,American League,1962,h1,,,1962 AMERICAN LEAGUE,
813,American League,1962,h2,1,1,Off the field,"After hearing the case of Engel vs. Vitale, the Supreme Court ruled that state-sponsored prayer in schools was unconstitutional. Although prayer was not outlawed in school entirely (only school-sponsored prayer) the decision ignited a controversy that has continued unabated until today."
814,American League,1962,h2,1,2,Off the field,"In February, astronaut Alan Shepard became the first American in orbit and John Glenn followed later that year as the first to travel into space after a fifteen minute flight on July 21st. Both missions were in preparation of meeting President Kennedy's goal of landing a man on the moon by the end of the decade."
815,American League,1962,h2,1,3,Off the field,"In late August, American spy planes detected the building of military missile sites in Cuba. U.S. Intelligence sources later determined the Soviets, under Nikita Khrushchev, had decided to shorten the strategic gap between the two world powers by placing missiles there limiting America's warning capabilities if attacked. In October, President John F. Kennedy was presented with conclusive proof that the Soviets were in fact installing medium-range ballistic missiles. After several tense days of defensive posturing, the issue was peacefully resolved after the United States agreed not to invade Cuba, and the Soviets agreed to withdraw all military forces and weapons."
816,American League,1962,h2,2,1,In the American League,The Baltimore Orioles' Brooks Robinson became only the fifth player in Major League history to hit grand slams in back-to-back games after knocking out a bases loaded round-tripper on May 6th and May 9th.
817,American League,1962,h2,2,2,In the American League,"After missing thirty games due to recurring knee injuries, New York's Mickey Mantle limped to the plate as a pinch hitter and launched a four-hundred twenty foot blast off of Gary Bell of the Cleveland Indians. The home team crowd showed their respects by giving the visiting Yankee a standing ovation."
818,American League,1962,h2,2,3,In the American League,"Earl Wilson became the first black pitcher to throw a no-hitter in the American League as the Boston Red Sox topped the California Angels 2-0 on June 26th at Fenway Park. Wilson also dominated at the plate with a four-hundred foot homer off Bo Belinsky who had tossed a ""no-no"" of his own in his last start against the Baltimore Orioles."
819,American League,1962,h2,3,1,In the National League,"On September 7th, Los Angeles Dodger Maury Wills stole four bases off the Pittsburgh Pirates setting a National League record for eighty-two ""robberies"" in a single season."
820,American League,1962,h2,3,2,In the National League,"The Houston Colt 45s, one of the National Leagues two new teams (New York Mets), opened with an impressive 11-2 triumph over the Chicago Cubs before a crowd of over 25,000. Roman Mejias set the pace with two, three-run home runs and Hal Smith followed close behind debuting with a round-tripper of his own."
821,American League,1962,h2,3,3,In the National League,"Stan Musial set a National League record (previously held by Mel Ott) after scoring for the 1,806th time in his career during a St. Louis Cardinals win over the Chicago Cubs on April 13th. Later in the season Musial became the leagues all-time leader in total bases with 5,864 during a June 22nd outing against the Philadelphia Phillies."
822,American League,1962,h2,4,1,Around the League,"John ""Buck"" O'Neil became the first African-American coach in Major League baseball after joining the staff of the Chicago Cubs. O'Neil had been a scout for the Cubs organization previously and was credited with discovering both Ernie Banks and Lou Brock."
823,American League,1962,h2,4,2,Around the League,"Baseball's newest franchise, the New York Mets, debuted in what some referred to as ""copycat uniforms"" that featured Dodger blue sleeves, Giants orange lettering and Yankee pinstripes. Unfortunately the Mets played as bad as they looked and finished their inaugural season with a laughable 40-120 record."
824,American League,1962,h2,4,3,Around the League,"After several years of ""double-headers"", both players and owners agreed to return the All-Star Game to its original, one-game format in 1963."
825,American League,1962,h2,4,4,Around the League,"Kansas City owner Charles Finley hired the first woman in baseball broadcasting. Betty Caywood was brought in initially to do ""color-commentary"" for the A's games, but later became the first female to regularly announce baseball games while airing her reports from both the dugout and the stands."
826,American League,1963,h1,,,1963 AMERICAN LEAGUE,
827,American League,1963,h2,1,1,Off the field,"Minister and civil-rights activist Dr. Martin Luther King led over two hundred thousand people in the largest non-violent demonstration ever held to support the passage of civil rights legislation. The historic march on Washington D.C. was highlighted by King's infamous ""I have a dream"" speech in which he stated ""one day this nation will rise up and live out the true meaning of its creed: we hold these truths to be self evident; that all men are created equal."""
828,American League,1963,h2,1,2,Off the field,"On November 22nd, President John F. Kennedy was shot and killed as he rode through the streets of Dallas, Texas aboard the presidential motorcade. Lee Harvey Oswald was later identified as the lone assassin although his guilt was never proven in a court of law. While in police custody, Oswald himself was shot and killed by nightclub owner Jack Ruby."
829,American League,1963,h2,1,3,Off the field,"As a first step toward ending the ""Cold War"", a test ban agreement between the United States and the Soviet Union was ratified by the Senate on October 10. The contract between the world's two superpowers prohibited any future above ground testing of nuclear weapons of mass destruction."
830,American League,1963,h2,2,1,In the American League,Detroit Tiger Billy Bruton tied a Major League record for most doubles in a single game after hitting four straight to top the Washington Senators 5-1 on May 19th. Teammate and rookie pitcher Bill Faul matched Bruton's efforts on the mound while tossing a three hitter in his first Major League start.
831,American League,1963,h2,2,2,In the American League,"On May 22nd, Mickey Mantle hit what is considered by many experts to be the longest homerun in Major League history. Batting left-handed against the visiting Kansas City A's at Yankee Stadium, Mantle opened the eleventh inning with a monumental blast off Bill Fisher that traveled three-hundred seventy-four feet from home plate, bouncing off of the third tier facade and falling just inches short of going out of the stadium. A senior physicist from the University of Arizona, Professor J.E. McDonald, calculated the estimated distance the ball would have traveled at six-hundred twenty feet."
832,American League,1963,h2,2,3,In the American League,"Cleveland pitcher Early Wynn finally won his 300th (and final) game thanks to a little help from the Indian's bullpen. After losing eight straight and struggling through five innings during the second half of a Kansas City doubleheader, Wynn was replaced by relief man Jerry Walker who tossed four scoreless sides en route to a 7-4 win over the Athletics."
